,title,date_list,critic_sentiment,critic_score,audience_setiment,audience_score
5540,Lady in White,"Streaming Sep 16, 2008",positive,71%,positive,69%
5541,MI-5,"Streaming Feb 9, 2016",positive,66%,negative,53%
5542,National Lampoon's Animal House,"Streaming Jun 15, 2012",positive,91%,positive,89%
5543,No One Lives,"Streaming Nov 9, 2016",negative,46%,negative,42%
5544,Persona,"Streaming Mar 11, 2017",positive,91%,positive,93%
5545,Rambo III,"Streaming Aug 26, 2016",negative,41%,negative,45%
5546,Resident Evil: Afterlife,"Streaming Apr 16, 2012",negative,21%,negative,48%
5547,She Will,"Streaming Jul 15, 2022",positive,85%,negative,51%
5548,Society,"Streaming May 4, 2017",positive,62%,positive,60%
5549,The Danish Girl,"Streaming Feb 16, 2016",positive,65%,positive,72%
5550,The Darkness,"Streaming Aug 24, 2016",negative,3%,negative,19%
5551,The Manor,"Streaming Oct 8, 2021",positive,62%,negative,34%
5552,The Persian Version,"Streaming Dec 5, 2023",positive,84%,positive,93%
5553,The Thomas Crown Affair,"Streaming Nov 30, 2016",positive,69%,positive,77%
5554,Trench 11,"Streaming Sep 4, 2018",positive,93%,negative,57%
5555,Tulip Fever,"Streaming Nov 14, 2017",negative,10%,negative,42%
5556,A Man Called Ove,"Streaming Dec 13, 2016",positive,91%,positive,88%
5557,Barber,"Streaming Sep 22, 2023",positive,80%,positive,65%
5558,Batman,"Streaming Mar 1, 2013",positive,80%,positive,62%
5559,Betrayal,"Streaming Sep 6, 2024",,,,
5560,Cinderella,"Streaming May 21, 2017",positive,98%,positive,80%
5561,Cottage Country,"Streaming Nov 22, 2016",negative,33%,negative,30%
5562,Dahmer,"Streaming Jan 20, 2017",positive,73%,negative,40%
5563,Disclosure,"Streaming Jan 1, 2008",negative,59%,negative,41%
5564,Disney's Descendants 2,"Streaming Jul 23, 2017",positive,83%,positive,70%
5565,Followers,"Streaming Mar 24, 2023",positive,78%,negative,22%
5566,Frost/Nixon,"Streaming Feb 12, 2014",positive,93%,positive,88%
5567,He Got Game,"Streaming Mar 4, 2016",positive,80%,positive,83%
5568,House of Usher,"Streaming Nov 30, 2016",positive,84%,positive,74%
5569,I Feel Pretty,"Streaming Jul 3, 2018",negative,35%,negative,35%
5570,Mystery Men,"Streaming Sep 10, 2015",positive,60%,negative,57%
5571,Room 237,"Streaming Nov 1, 2016",positive,94%,negative,55%
5572,The Greatest Love Story Never Told,"Streaming Feb 27, 2024",positive,100%,positive,73%
5573,The Producers,"Streaming Jan 7, 2014",positive,91%,positive,85%
5574,Twist,"Streaming Jul 30, 2021",negative,9%,negative,11%
5575,Act of Valor,"Streaming Jun 4, 2012",negative,28%,positive,72%
5576,Andhadhun,"Streaming Dec 16, 2018",positive,100%,positive,90%
5577,Bad Lieutenant: Port of Call New Orleans,"Streaming Nov 11, 2016",positive,86%,negative,57%
5578,Birth of the Dragon,"Streaming Nov 7, 2017",negative,25%,positive,67%
5579,Calvary,"Streaming May 1, 2016",positive,89%,positive,80%
5580,Farha,"Streaming Dec 1, 2022",positive,100%,positive,86%
5581,Five Blind Dates,"Streaming Feb 13, 2024",negative,43%,negative,56%
5582,Ghost Dog: The Way of the Samurai,"Streaming Oct 12, 2016",positive,84%,positive,86%
5583,Going the Distance,"Streaming Mar 10, 2017",negative,0%,positive,61%
5584,In the Loop,"Streaming Sep 27, 2016",positive,94%,positive,82%
5585,Night Raiders,"Streaming Nov 12, 2021",positive,83%,negative,45%
5586,Runt,"Streaming Oct 19, 2021",positive,67%,negative,47%
5587,Spanglish,"Streaming Apr 16, 2012",negative,54%,positive,60%
5588,The Banana Splits Movie,"Streaming Aug 12, 2019",negative,58%,positive,61%
5589,The Ghost and Mr. Chicken,"Streaming Aug 10, 2016",positive,67%,positive,75%
5590,The Glass Castle,"Streaming Oct 24, 2017",negative,52%,positive,70%
5591,The Hunter,"Streaming Nov 18, 2016",positive,72%,positive,62%
5592,The Mummy,"Streaming Jan 1, 2009",positive,91%,positive,64%
5593,The Nutty Professor,"Streaming Jun 15, 2012",positive,65%,negative,44%
5594,The Searchers,"Streaming Oct 24, 2008",positive,87%,positive,88%
5595,Vampire in Brooklyn,"Streaming Jun 15, 2011",negative,11%,negative,31%
5596,Wall Street,"Streaming Mar 1, 2013",positive,79%,positive,81%
5597,Yes Day,"Streaming Mar 12, 2021",negative,52%,negative,56%
5598,2010,"Streaming Oct 1, 2013",positive,67%,positive,61%
5599,A Perfect Murder,"Streaming Dec 28, 2008",negative,55%,negative,51%
5600,Avengement,"Streaming May 24, 2019",positive,89%,positive,82%
5601,Barbarians,"Streaming Apr 1, 2022",negative,53%,negative,15%
5602,Blue Jasmine,"Streaming Jan 7, 2014",positive,90%,positive,77%
5603,Crank: High Voltage,"Streaming May 26, 2012",positive,64%,negative,49%
5604,Dave Chappelle: Sticks & Stones,"Streaming Aug 26, 2019",negative,40%,positive,98%
5605,Friday After Next,"Streaming Oct 4, 2016",negative,26%,positive,75%
5606,Good Burger 2,"Streaming Nov 22, 2023",negative,59%,positive,62%
5607,Legend of the Guardians: The Owls of Ga'Hoole,"Streaming Jul 24, 2014",negative,52%,positive,64%
5608,Monster's Ball,"Streaming Dec 19, 2015",positive,85%,positive,67%
5609,Murder Mubarak,"Streaming Mar 14, 2024",positive,63%,negative,50%
5610,My Salinger Year,"Streaming Mar 5, 2021",positive,72%,positive,62%
5611,Old Man,"Streaming Oct 14, 2022",positive,64%,negative,50%
5612,Rope,"Streaming Apr 19, 2016",positive,93%,positive,90%
5613,Save the Last Dance,"Streaming Aug 1, 2013",negative,54%,negative,59%
5614,The Cat Returns,"Streaming Dec 12, 2019",positive,88%,positive,82%
5615,The Jerk,"Streaming Jun 15, 2012",positive,82%,positive,84%
5616,The Tank,"Streaming Apr 25, 2023",negative,29%,negative,24%
5617,What If,"Streaming Jun 14, 2016",positive,74%,positive,69%
5618,Anonymous,"Streaming Feb 7, 2012",negative,47%,negative,53%
5619,Apollo 10 1/2: A Space Age Childhood,"Streaming Apr 1, 2022",positive,91%,positive,82%
5620,Cruising,"Streaming Nov 21, 2016",negative,48%,negative,49%
