Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Sound Mix,title,Box Office (Gross USA),Aspect Ratio,Rerelease Date (Theaters),Release Date (DVD)
Jason Lehel,"John Gordon,Jason Lehel",Jason Lehel,,,,Drama,English,,,1h 57m,,Gaia,,,,
Dmitriy Suvorov,,"Dmitriy Suvorov,Fyodor Derevyanskiy",Capelight Pictures,,,"Drama,Romance",Russian,,"May 14, 2024",1h 28m,,Naughty,,,,
Glendyn Ivin,"Emma Cooper,Steve Hutensky,Jodi Matterson,Bruna Papandrea,Naomi Watts","Shaun Grant,Harry Cripps",,"Roadshow Films,Fifth Season,Made Up Stories,Create NSW,Screen Australia,Broadtalk,JamTart Productions",,Drama,English,,"Jan 27, 2021",1h 35m,,Penguin Bloom,,,,
Vishnuvardhan,"Shabbir Boxwala,Hiroo Johar,Karan Johar,Apoorva Mehta,Ajay Shah,Harry Gandhi",Sandeep Shrivastava,,Dharma Productions,,Drama,Hindi,,"Aug 12, 2021",2h 15m,,Shershaah,,,,
Emmanuelle Pickett,"Sarah Gabriel,Marc Goldberg,James Harris,Mark Lane",Anthony Ragnone II,Lionsgate,"Particular Crowd,Tea Shop Productions,Signature Films",R,"Crime,Drama,Mystery & Thriller",English,"Dec 8, 2023, Limited","Dec 8, 2023",1h 21m,,All Souls,,,,
Carlos Saura,"Mariana Erijimovich,Alejandro Israel,Marcelo Schapces",Carlos Saura,,,,"Documentary,Music",Spanish,,"Mar 17, 2017",1h 25m,,"Argentina, 1985",$14.9K,,,
David James,"Patrick Ewald,Jake Heineke","David Andrew James,Nick Laughlin,Joe Zappa",Dread,"Dread Presents,Traverse Terror",,"Horror,Mystery & Thriller",English,"Mar 29, 2024, Limited","Apr 2, 2024",1h 36m,,Bag of Lies,,,,
Michael Oblowitz,"Daniel Cummings,Sean Patrick O'Reilly,Michelle O'Reilly,David Fleming,Michael Oblowitz","Michael Kaycheck,Michael Oblowitz,Brooke Nasser",Lionsgate,"Buffalo 8 Productions,BondIt Media Capital,Red Sea Media,Grindstone Entertainment Group",R (Graphic Nudity|Drug Use|Language Throughout|Some Violence),"Crime,Drama,Mystery & Thriller,Action",English,"Jun 30, 2023, Limited","Jun 27, 2023",1h 28m,,Confidential Informant,,,,
Louie Schwartzberg,"Lyn Davis Lear,Louie Schwartzberg,Elease Lui Stemp",Mark Monroe,Self Distributed,"Moving Art Studio,Reconsider",,Documentary,English,"Oct 11, 2019, Limited","Aug 7, 2020",1h 21m,,Fantastic Fungi,$933.4K,Flat (1.85:1),,
Rhys Marc Jones,Alex Polunin,Rhys Marc Jones,,,,Drama,British English,,"May 4, 2020",15m,,Father of the Bride,,,,
Ben Lawrence,Matt Reeder,"Beatrix Christian,Ben Lawrence",Gravitas Ventures,"Night Kitchen Productions,Spectrum Films",,Drama,Australian English,"Nov 20, 2020, Limited","Nov 20, 2020",1h 51m,,Hearts and Bones,,,,
Tim Hill,"Phillip Glasser,Marvin Peart,Rosa Morris Peart","Tom J. Astle,Matt Ember",101 Studios,"TRI G,Dimension Films,Emmett/Furla/Oasis Films,Marro Films,West Madison Entertainment ",PG (Rude Humor|Language|Some Thematic Elements),Comedy,English,"Oct 9, 2020, Wide","Oct 10, 2020",1h 34m,Dolby Digital,The War With Grandpa,$21.3M,Flat (1.85:1),,
Justin Kurzel,"Liz Watts,Hal Vogel,Paul Ranford",Shaun Grant,IFC Films,"Screen Australia,Film4,Porchlight Films,Film Victoria,Daybreak Pictures,La Cinéfacture",R (Pervasive Language|Bloody Images|Sexual Content|Some Nudity|Strong Violence Throughout),"Crime,Drama,Biography",Australian English,"Apr 24, 2020, Limited","Apr 20, 2020",2h 4m,Dolby Digital,True History of the Kelly Gang,$33.8K,Scope (2.35:1),,
Daniel Benmayor,"Juan Solá,Daniel Benmayor","Daniel Benmayor,Ivan Ledesma",Amazon Studios,"Amazon Studios,Federation Spain",,"Sci-Fi,Mystery & Thriller",European Spanish,,"Oct 11, 2023",1h 52m,,Awareness,,,,
"Michael Ahern,Enda Loughman","Katie Holly,Yvonne Donohoe,Mary McCarthy",Enda Loughman,Good Deed Entertainment,"Good Deed Entertainment,Umedia,Blinder Films",R (Some Horror Violence|Sexual Content|Language),"Comedy,Fantasy",British English,"Mar 6, 2020, Limited","Jan 13, 2020",1h 34m,,Extra Ordinary,$160.9K,,,
Billy Corben,,,,,TV-MA,Documentary,English,,"Nov 1, 2022",1h 49m,,God Forbid: The Sex Scandal that Brought Down a Dynasty,,,,
Kristi Jacobson,"Selena Gomez,Stacey Abrams,Angus Wall,Kent Kubena,Terry Leonard,Aleen Keshishian,Zack Morgenroth",,Max,MakeMake Entertainment,,"Documentary,Music",English,,"Oct 17, 2024",1h 2m,,Louder: The Soundtrack of Change,,,,
Todd Holland,"David Magee,Neil Meron,Marc Shaiman","Billy Eddy,Matt Eddy,Jenny Jaffe,Greg Erb,Jason Oremland",,"Nickelodeon,Fake Empire,Playground Productions (II),Brightlight Pictures,Universal Pictures,Mattel Television,Monster High Productions,Nickelodeon Animation Studios",,"Kids & Family,Musical,Comedy,Fantasy",Zulu,,"Oct 6, 2022",1h 20m,,Monster High: The Movie,,Flat (1.85:1),,
Geoff Marslett,"Geoff Marslett,Melodie Sisk,Bill Way","Howe Gelb,Geoff Marslett",Cinedigm,"Mystery Meat Media,Fit Via Vi Film Productions,Minnow Mountain,Artless Media,Swerve Pictures",,"Comedy,Sci-Fi",English,,"Nov 14, 2023",1h 39m,,Quantum Cowboys,,,,
