Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Jacqueline Audry,,Pierre Laroche,,Les Films Marceau,,Drama,French (France),,,,1h 35m,,,No Exit,,,
Javier Reyna,"HemDee Kiwanuka,Al Bravo,Moctesuma Esparza,Elias Axume",Javier Reyna,Saban Films,"Premiere Entertainment Group,BondIt Media Capital,Al Bravo Films",R (Some Drug Use|Language Throughout|Bloody Violent Content),"Action,Mystery & Thriller",English,"Nov 24, 2023, Limited","Nov 24, 2023",,1h 37m,,,Due Justice,,,
Jessica Yu,"Will Ferrell,Jessica Elbaum,Maggie Haskins,Itay Reiss,Jen D'Angelo,Awkwafina,Sandra Oh",Jen D'Angelo,Hulu,20th Century Studios,R (Some Drug Use and Language),Comedy,English,,"Nov 3, 2023",,1h 39m,Dolby Digital,,Quiz Lady,,,
Josh Henry,,Josh Henry,,,,"Comedy,Drama",English,,"Mar 19, 2018",,11m,,,Poker Face,,,
"Justin Benson,Aaron Moorhead","Justin Benson,Aaron Moorhead,David Lawson Jr.,Michael Mendelsohn",Justin Benson,Well Go USA Entertainment,"Rustic Films,Patriot Pictures,Love & Death Productions,Pfaff & Pfaff Productions,XYZ Films",R (Language Throughout|Drug Content|Some Violent/Bloody Images),"Sci-Fi,Mystery & Thriller",English,"Oct 23, 2020, Limited","Nov 21, 2020",$636.7K,1h 40m,,Scope (2.35:1),Synchronic,,,
Makoto Shinkai,"Genki Kawamura,Wakana Okamura,Kôichirô Itô,Noritaka Kawaguchi",Makoto Shinkai,GKIDS,"Lawson Entertainment,Kadokawa,Beijing Enlight Pictures,CoMix Wave Films,China Film Group Corporation,Toho Animation",PG-13 (Some Violence|Language|Suggestive Material),"Drama,Fantasy,Anime",Japanese,"Jan 15, 2020, Limited","Jul 30, 2020",$7.8M,1h 51m,Dolby Digital,,Weathering With You,,,
Christian Schwochow,Andrew Eaton,"Robert Harris,Ben Power,Ben Power",,"Netflix,Turbine Studios",PG-13 (Some Strong Language|Smoking|Brief Violence|Thematic Elements),"Biography,History,Drama",English,,"Jan 21, 2022",,2h 3m,Dolby Digital,,Munich: The Edge of War,,,
"Anthony Antonelli,Karl Bohn","Karl Bohn,Maggie Durkin","Anthony Antonelli,Karl Bohn",,,,"Drama,Sci-Fi",English,,,,11m,,,The Veil,,,
"Elizabeth Chai Vasarhelyi,Jimmy Chin","Andrew Lazar,Teddy Schwarzman",Julia Cox,Netflix,"Black Bear Pictures,Mad Chance",PG-13 (Sexual Abuse|Brief Partial Nudity|Some Strong Language|Thematic Material),"Biography,Drama",English,"Oct 20, 2023, Limited","Nov 3, 2023",,2h 1m,Dolby Digital,,Nyad,,,
Kim Joo-hwan,Byun Seung-min,Kim Joo-hwan,Netflix,Climax Studio,,"Action,Crime,Drama",Korean,,"Sep 13, 2024",,1h 48m,,,Officer Black Belt,,,
Paul Schrader,"Braxton Pope,Lauren Mann,David M. Wulf",Paul Schrader,Focus Features,"HanWay Films,Bona Film Group,Focus Features,LB Entertainment,Astrakan Films,Convergent Media.",R (Graphic Nudity|Brief Sexuality|Language|Some Disturbing Violence),"Mystery & Thriller,Drama",English,"Sep 10, 2021, Wide","Sep 30, 2021",$2.6M,1h 49m,,,The Card Counter,,,
Shôtarô Kobayashi,,Yasuhiro Yoshida,,NHK,,Drama,Japanese,,,,1h 59m,,,Reminiscence,,,
Michael Grandage,"Greg Berlanti,Sarah Schechter,Robbie Rogers,Cora Palfrey,Philip Herd",Ron Nyswaner,Amazon Studios,"The American Independent Film Company,Amazon Studios,MGC Entertainment,Independent",R,"Romance,Drama,LGBTQ+",English,"Oct 21, 2022, Limited","Nov 4, 2022",,1h 53m,,,My Policeman,,,
Adam Berg,"Malin Idevall,Mattias Montero","Pelle Rådström,Adam Berg,Jerker Virdborg",,Indio Productions,,"Action,Adventure,Sci-Fi",Swedish,,"Mar 18, 2022",,1h 50m,,,Black Crab,,,
"James A. Woods,Nicolas Wright","Valérie d'Auteuil,Andre Rouleau","James A. Woods,Nicolas Wright",Paramount Global Content Distribution,Caramel Films,R (Some Sexual References|Language),"Romance,Comedy",English,"Mar 15, 2024, Limited","Mar 19, 2024",,1h 50m,,,French Girl,,,
Robert Altman,"Robert Altman,John Flaxman",Herman Wouk,,Sandcastle 5 Productions,PG,Drama,English,,"Jan 5, 2014",,1h 33m,,,The Caine Mutiny Court-Martial,,,
Phyllis Nagy,"Claude Amadeo,Robbie Brenner,Lee Broda,Michael D'Alto,Kevin McKeon,David M. Wulf","Hayley Schore,Roshan Sethi",Roadside Attractions,"FirstGen Content,RB Entertainment Production,LB Entertainment,Unburdened Entertainment,Ingenious Media,Synthetic Cinema International,Doco Digital,Redline Entertainment,Our Turn Productions",R (Some Language|Brief Drug Use),Drama,English,"Oct 28, 2022, Wide","Dec 6, 2022",$512.8K,2h 2m,,Flat (1.85:1),Call Jane,,,
J.J. Perry,"Shaun Redick,Yvette Yates Redick,Jason Spitz,Chad Stahelski","Tyler Tice,Shay Hatten",,"87eleven,Impossible Dream Entertainment",R (Strong Violence and Gore|Language),"Action,Horror,Comedy",English,,"Aug 12, 2022",,1h 53m,,,Day Shift,,,
Władysław Pasikowski,"Arnold Heslenfeld,Dariusz Jabłoński,Violetta Kaminska,Laurette Schillings,Frans van Gestel,Artyom Vasilev",Władysław Pasikowski,Menemsha Films,,,Drama,Polish,"Nov 1, 2013, Original","Apr 6, 2015",,1h 42m,,,Aftermath,,,
Jason Woliner,"Sacha Baron Cohen,Anthony Hines,Monica Levinson","Sacha Baron Cohen,Anthony Hines,Dan Swimer,Peter Baynham,Erica Rivinoja,Dan Mazer,Jena Friedman,Lee Kern",,"Amazon Studios,Four by Two Films",R (Strong Crude & Sexual Content|Language|Graphic Nudity),Comedy,English,,"Oct 23, 2020",,1h 36m,,,Borat Subsequent Moviefilm,,,
Kier-La Janisse,"Winnie Cheung,Kier-La Janisse","Kier-La Janisse,Kier-La Janisse",,Severin Films,,"Documentary,Horror",Brazilian Portuguese,,"Oct 26, 2021",,3h 14m,,,Woodlands Dark and Days Bewitched: A History of Folk Horror,,,
Terrence Malick,"Elisabeth Bentley,Dario Bergesio,Grant Hill,Josh Jeter",Terrence Malick,,"Elizabeth Bay Productions,Studio Babelsberg",,Drama,English,,,,2h 52m,,,A Hidden Life,,,
Óskar Þór Axelsson,"Tinna Proppé,Hilmar Sigurðsson,Anita Elsani,Dirk Schweitzer","Arnaldur Indriðason,Marteinn Þórisson",Magnet Releasing,"Icelandic Film Fund,MMC Movies,Nordisk Film,TV Fond,Splendid Film,Splendid Entertainment,Saga Film,Deutscher Filmförderfonds,Zweites Deutsches Fernsehen,Film- und Medienstiftung NRW",,Mystery & Thriller,Icelandic,"Aug 11, 2023, Limited","Aug 11, 2023",$909,1h 42m,,,Operation Napoleon,,,
Peter Hutchings,"Brice Dal Farra,Claude Dal Farra,Santosh Govindaraju,Brian Keady,Dan Reardon",Christina Mengert,Vertical Entertainment,"BCDF Pictures,Convergent Media.",R (Some Sexual Content|Language),"Romance,Comedy",English,"Dec 10, 2021, Limited","Dec 10, 2021",,1h 42m,,,The Hating Game,,,
Maria Sadowska,,"Mitja Okorn,Lucas Coleman,Peter Pasyk,Max Turell,Jan Belcl",VMI Worldwide,,,Drama,Polish,"Jul 15, 2022, Limited","Jul 15, 2022",,2h 16m,,,Girls to Buy,,,
Matt Chastain,"Christos Hines,Dale Wheatley",Matt Chastain,,Limesoda Films,PG-13 (Brief Violence|Thematic Material|Drug References),"Drama,Comedy",English,,"Oct 6, 2020",,2h 1m,,,Small Group,,,
Cedric Nicolas-Troyan,"David Leitch,Kelly McCormick,Patrick Newall,Bryan Unkeless",Umair Aleem,Netflix,"87North,Screen Arcade",R (Strong Bloody Violence|Language Throughout),"Action,Adventure",English,"Sep 10, 2021, Limited","Sep 10, 2021",,1h 46m,Dolby Digital,,Kate,,,
Robert Rodriguez,Ben Ormand,Robert Rodriguez,Netflix,"Quick Draw Productions,Troublemaker Studios",PG (Mild Action/Violence),"Action,Adventure,Sci-Fi,Fantasy",English,,"Dec 25, 2020",,1h 40m,,Flat (1.85:1),We Can Be Heroes,,,
