Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Paul King,"David Heyman,Alexandra Derbyshire,Luke Kelly","Simon Farnaby,Paul King",Warner Bros. Pictures,Heyday Films,PG (Some Violence|Mild Language|Thematic Elements),"Kids & Family,Musical,Comedy,Fantasy",English,"Dec 15, 2023, Wide","Jan 30, 2024",$218.4M,1h 56m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Wonka,,,
Brad Anderson,Eric Paquette,Dan Hall,Republic Pictures,"Orogen Entertainment,Valletta Pictures,Meridian Pictures,AGC Studios",R (Pervasive Language|Violence|Some Drug Material),"Action,Mystery & Thriller",English,"Oct 11, 2024, Limited","Oct 11, 2024",,1h 39m,,Scope (2.35:1),The Silent Hour,,,
"Joaquim Dos Santos,Kemp Powers,Justin K. Thompson","Christopher Miller,Phil Lord,Amy Pascal,Avi Arad,Christina Steinberg","Phil Lord,Christopher Miller,David Callaham",Sony Pictures,"Sony Pictures Entertainment (SPE),Lord Miller,Sony Pictures Animation,Arad Productions,Marvel Entertainment,Pascal Pictures",PG (Some Language|Animated Action Violence|Thematic Elements),"Kids & Family,Action,Adventure,Comedy,Fantasy,Animation",English,"Jun 2, 2023, Wide","Aug 8, 2023",$381.2M,2h 20m,"Dolby Digital,Dolby Atmos,SDDS",Digital 2.39:1,Spider-Man: Across the Spider-Verse,,,
"Adam Nee,Aaron Nee","Liza Chasin,Sandra Bullock,Seth Gordon","Oren Uziel,Dana Fox,Adam Nee,Aaron Nee",Paramount Pictures,"Fortis Films,Exhibit A Pictures,3dot productions",PG-13 (Partial Nudity|Language|Some Bloody Images|Suggestive Material|Violence),"Romance,Comedy,Adventure,Action",English,"Mar 25, 2022, Wide","May 10, 2022",$104.9M,1h 52m,,Scope (2.35:1),The Lost City,,,
Rawson Marshall Thurber,"Hiram Garcia,Dany Garcia,Rawson Marshall Thurber,Beau Flynn,Dwayne Johnson",Rawson Marshall Thurber,Netflix,"Netflix,Seven Bucks Productions,Bad Version,Flynn Picture Company",PG-13 (Strong Language|Some Sexual References|Violence and Action),"Action,Comedy",English,"Nov 5, 2021, Limited","Nov 12, 2021",,1h 57m,Dolby Atmos,Scope (2.35:1),Red Notice,,,
Olivier Masset-Depasse,"Jacques-Henri Bronckart,Olivier Bronckart",,,,,"Drama,Mystery & Thriller",French (France),,"Jan 16, 2020",,1h 37m,,,Mothers' Instinct,,,
Matthew Vaughn,"Matthew Vaughn,Adam Bohling,David Reid,Jason Fuchs",Jason Fuchs,Universal Pictures,Cloudy,PG-13 (Strong Violence and Action|Some Strong Language),"Action,Adventure,Comedy,Drama,Mystery & Thriller",English,"Feb 2, 2024, Wide","Mar 5, 2024",$45.2M,2h 19m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Argylle,,,
Jane Campion,"Jane Campion,Iain Canning,Roger Frappier,Tanya Seghatchian,Emile Sherman",Jane Campion,Netflix,"New Zealand Film Commission,BBC Films,See-Saw Films,Max Films International,Brightstar Films,Cross City Films",R (Full Nudity|Brief Sexual Content),"Western,Drama,Romance",English,"Nov 17, 2021, Limited","Dec 1, 2021",,2h 8m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,The Power of the Dog,,,
Laurent Bouzereau,"Sara Bernstein,Laurent Bouzereau,Justin Falvey,Darryl Frank,Steven Spielberg,Brian Grazer,Ron Howard,Justin Wilkes,Meredith Kaulfers,Kathleen Kennedy,Frank Marshall",,Disney+,"Lucasfilm,Amblin Documentaries,Imagine Documentaries",PG (Brief Language|Some Violence|Smoking),"Documentary,Biography,Music",English,"Nov 1, 2024, Limited","Nov 1, 2024",,1h 45m,Dolby Digital,,Music by John Williams,,,
"Matt Bettinelli-Olpin,Tyler Gillett","William Sherak,James Vanderbilt,Paul Neinstein","James Vanderbilt,Guy Busick",Paramount Pictures,"Spyglass Media Group,Radio Silence,Project X Entertainment",R (Language Throughout|Brief Drug Use|Strong Bloody Violence),"Holiday,Horror,Mystery & Thriller",English,"Mar 10, 2023, Wide","Apr 25, 2023",$108.1M,2h 3m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Scream VI,,,
Junya Satô,,,,Toei,,Mystery & Thriller,Japanese,,,,2h 35m,,,Bullet Train,,,
Don Gronquist,Don Gronquist,"Don Gronquist,Reagan Ramsey",,,,"Horror,Mystery & Thriller",English,,,,1h 19m,,,Unhinged,,,
Alice Nellis,,,,In Film Praha,,"Comedy,Drama,Romance",Czech,,,,1h 48m,,,Perfect Days,,,
Justine Triet,"Marie-Ange Luciani,Philippe Martin,David Thion","Justine Triet,Arthur Harari",NEON,"Auvergne Rhône-Alpes Cinéma,Les Films Pelléas,France 2 Cinéma,Les Films de Pierre",R (Some Language|Sexual References|Violent Images),"Mystery & Thriller,Drama,Crime",French,"Oct 13, 2023, Limited","Dec 22, 2023",$5.1M,2h 30m,Dolby Digital,Flat (1.85:1),Anatomy of a Fall,,,
Demián Rugna,"Fernando Díaz,Roxana Ramos",Demián Rugna,IFC Films,"Shudder Films,Aramos Cine,Machaco Films",,Horror,Spanish,"Oct 6, 2023, Wide","Oct 27, 2023",$544.7K,1h 39m,,,When Evil Lurks,,,
Mike Cheslik,"Sam Hogerton,Kurt Ravenwood,Matt Sabljak,Ryland Brickson Cole Tews","Mike Cheslik,Ryland Brickson Cole Tews",,SRH,,"Comedy,Adventure",English,"Jan 26, 2024, Limited","Apr 15, 2024",,1h 48m,,,Hundreds of Beavers,,,
"Aaron Horvath,Michael Jelenic","Christopher Meledandri,Shigeru Miyamoto",Matthew Fogel,Universal Pictures,"Illumination Entertainment,Universal Pictures,Nintendo",PG (Action and Mild Violence),"Kids & Family,Comedy,Adventure,Animation",English,"Apr 5, 2023, Wide","May 16, 2023",$574.9M,1h 32m,"Dolby Digital,DTS,Dolby Atmos",Digital 2.39:1,The Super Mario Bros. Movie,,,
Steven Caple Jr.,"Lorenzo di Bonaventura,Tom DeSanto,Don Murphy,Michael Bay,Mark Vahradian,Duncan Henderson","Joby Harold,Darnell Metayer,Josh Peters,Erich Hoeber,Jon Hoeber",Paramount Pictures,"Di Bonaventura Pictures,Skydance Media,New Republic Pictures,Hasbro,Bay Films",PG-13 (Language|Intense Sci-Fi Action|Violence),"Action,Adventure,Sci-Fi,Fantasy",English,"Jun 9, 2023, Wide","Jul 11, 2023",$156.7M,2h 7m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Transformers: Rise of the Beasts,,,
Donald Crisp,,,,,,Drama,,,,,52m,,,Barbarian,,,
Rudolf Thome,,,,,,Drama,German,,,,1h 55m,,,Tarot,,,
Thea Sharrock,"Graham Broadbent,Peter Czernin,Ed Sinclair,Olivia Colman,Jo Wallett",Jonny Sweet,Sony Pictures Classics,"Blueprint Pictures,South of the River Pictures",R (Sexual Material|Language Throughout),"Comedy,History,Mystery & Thriller",English,"Apr 5, 2024, Wide","May 7, 2024",$5.0M,1h 42m,Dolby Digital,Flat (1.85:1),Wicked Little Letters,,,
Yves Hanchar,,,,,,Drama,French (France),,,,1h 40m,,,No Hard Feelings,,,
"Zaden Alexander,Lucas Elliot Eberl",,"Zaden Alexander,Lucas Elliot Eberl",,,,Drama,English,,,,,,,The 4:30 Movie,,,
James Hawes,"Joanna Laurie,Iain Canning,Emile Sherman,Guy Heeley","Lucinda Coxon,Nick Drake",Bleecker Street,"See-Saw Films,BBC Film,MBK Productions",,"History,Drama,Biography",English,"Mar 15, 2024, Limited","Apr 9, 2024",$5.7M,1h 49m,,,One Life,,,
Chris Nash,"Peter Kuplowsky,Shannon Hanmer",Chris Nash,IFC Films,Shudder,,"Horror,Mystery & Thriller",English,"May 31, 2024, Wide","Jun 28, 2024",$4.2M,1h 34m,,Academy (1.33:1),In a Violent Nature,,,
Lionel Bailliu,Manuel Munz,Lionel Bailliu,,"TPS Cinéma,Entre Chien et Loup,Okko Productions,M6 Films,Les Films Manuel Munz",,"Mystery & Thriller,Drama",French (France),,"Mar 15, 2020",,1h 45m,,,Fair Play,,,
Chloé Zhao,"Kevin Feige,Nate Moore","Chloé Zhao,Ryan Firpo,Kaz Firpo",Walt Disney,Marvel Studios,PG-13 (Fantasy Violence and Action|Brief Sexuality|Some Language),"Action,Adventure,Fantasy",English,"Nov 5, 2021, Wide","Jan 12, 2022",$164.9M,2h 37m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),Eternals,,,
Adam Wingard,"Mary Parent,Alex Garcia,Eric McLeod,Thomas Tull,Brian Rogers","Terry Rossio,Simon Barrett,Jeremy Slater",Warner Bros. Pictures,Legendary Pictures,PG-13 (Creature Violence and Action),"Sci-Fi,Action,Adventure",English,"Mar 29, 2024, Wide","May 14, 2024",$196.2M,1h 55m,"Dolby Digital,Dolby Atmos",Digital 2.39:1,Godzilla x Kong: The New Empire,,,
Todd Haynes,"Jessica Elbaum,Will Ferrell,Grant S. Johnson,Pamela Koffler,Tyler W. Konney,Sophie Mas,Natalie Portman,Christine Vachon",Samy Burch,Netflix,"Project Infinity,Killer Films,Taylor & Dodge,Gloria Sanchez Productions,MountainA",R (Graphic Nudity|Drug Use|Language|Some Sexual Content),"Drama,Romance",English,"Nov 17, 2023, Limited","Dec 1, 2023",,1h 53m,Dolby Digital,,May December,,,
Adam Rehmeier,"Nicholas Weinstock,Ross Putman,David Hunter,John Covert,Sam Slater,Ben Stiller",Adam Rehmeier,Best & Final Releasing,"Covert Creative Group Inc.,High Frequency Entertainment,Red Hour Films,Burn Later Productions,Atlas Industries,Bee-Hive Productions",,"Comedy,Drama",English,"May 27, 2022, Limited","Jun 7, 2022",,1h 46m,,Scope (2.35:1),Dinner in America,,,
Rian Johnson,"Rian Johnson,Ram Bergman,Jonathan Golfman,Brye Adler",Rian Johnson,Lionsgate Films,"FilmNation Entertainment,Media Rights Capital",PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),"Mystery & Thriller,Comedy,Drama",English,"Nov 27, 2019, Wide","Jun 12, 2020",$165.4M,2h 10m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),Knives Out,,,
Justin Folk,"Justin Folk,Dallas Sonnier,Charlotte Roland",,,Digital Astronaut,,Documentary,English,,"Jun 1, 2022",,1h 34m,,,What Is a Woman?,,,
Pablo Berger,"Ibón Cormenzana,Ignasi Estapé,Sandra Tapia,Ángel Durández,Jérôme Vidal",Pablo Berger,NEON,Arcadia Motion Pictures,,"Kids & Family,Drama,Music,Animation",Spanish,"Nov 22, 2023, Limited","Sep 10, 2024",$875.2K,1h 42m,,,Robot Dreams,,,
Rob Margolies,"Rob Margolies,Joseph C. Grano",Rob Margolies,Entertainment Squad,"Different Duck Films,Set Point Entertainment",,"Comedy,Drama,Romance",English,,"Nov 5, 2024",,1h 28m,,,In Fidelity,,,
Fisher Stevens,"Charlie Corwin,Sidney Kimmel,Daniel Nadler,John Penotti,Charles B. Wessler",Cheryl Guerriero,,"SK Global,Sidney Kimmel Entertainment,Rhea Films (II),Hercules Film Fund",R (Some Sexual Content/Nudity|Language|Brief Violence),Drama,English,,"Jan 29, 2021",,1h 51m,,Scope (2.35:1),Palmer,,,
Nahnatchka Khan,"Jason Blum,Adam Hendricks,Greg Gilreath","David Matalon,Sasha Perl-Raver,Jen D'Angelo",Amazon Studios,"Blumhouse Television,Divide/Conquer",R (Sexual Material|Language|Bloody Violence|Teen Drug/Alcohol Use),"Horror,Comedy",English,,"Oct 6, 2023",,1h 43m,,,Totally Killer,,,
Micheal Bafaro,,,,,TV-14,Sci-Fi,English,,,,1h 36m,,,Sleeping Dogs,,,
Jonathan Glazer,"James Wilson,Ewa Puszczyńska,Jim Wilson",Jonathan Glazer,A24,"A24,Access Entertainment,Film4,JW Films,Extreme Emotions",PG-13 (Some Suggestive Material|Smoking|Thematic Material),"History,Drama,War",German,"Dec 15, 2023, Limited","Feb 20, 2024",$7.7M,1h 46m,Dolby Digital,,The Zone of Interest,,,
Helmut Ashley,,,,,,Action,English,,,,1h 27m,,,No Time to Die,,,
Adam Rehmeier,"Ben Cornwell,Jordan Foley,Nick Smith,Ben LeClair",Adam Rehmeier,Republic Pictures,"Paperclip Limited,T-Street,MRC",R (Smoking|Pervasive Language|Alcohol and Drug Use|Some Sexual Material),Comedy,English,"Mar 15, 2024, Limited","Apr 2, 2024",$437.1K,1h 52m,Dolby,Digital 2.39:1,Snack Shack,,,
Christopher McQuarrie,"Tom Cruise,Christopher McQuarrie,Leifur B. Dagfinnsson","Christopher McQuarrie,Erik Jendresen",Paramount Pictures,"Tom Cruise,Skydance Media,Paramount Pictures",PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),"Action,Adventure,Mystery & Thriller",English,"Jul 12, 2023, Wide","Oct 10, 2023",$172.0M,2h 43m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Mission: Impossible - Dead Reckoning Part One,,,
Jeremiah S. Chechik,Stephen Lillis,"Larry Barber,Paul Barber",,Beth Grossbard Productions,,"Drama,Mystery & Thriller",English,,"Oct 14, 2018",,1h 36m,,,American Meltdown,,,
Kim Sang-man,,"Shin Chul,Park Chan-wook",Netflix,"Moho Film,Semicolon Studio",,"War,Drama,Action,Adventure",Korean,,"Oct 11, 2024",,2h 6m,,,Uprising,,,
James D'Arcy,"Pippa Cross,Sam Tipper-Hale",James D'Arcy,IFC Films,"Indiana Production Company,CrossDay Productions Ltd.",R (Language),"Comedy,Drama",British English,"Aug 7, 2020, Limited","Aug 7, 2020",$101.1K,1h 34m,,Flat (1.85:1),Made in Italy,,,
Greta Gerwig,"David Heyman,Margot Robbie,Tom Ackerley,Robbie Brenner","Greta Gerwig,Noah Baumbach",Warner Bros. Pictures,"Mattel,Heyday Films,NB/GG Pictures,LuckyChap Entertainment",PG-13 (Suggestive References|Brief Language),Comedy,English,"Jul 21, 2023, Wide","Sep 12, 2023",$636.2M,1h 54m,"Dolby Digital,Dolby Atmos",,Barbie,,,
Ernest Pintoff,Ernest Pintoff,Mel Brooks,,,,"Comedy,Animation",English,,,,4m,,,The Critic,,,
Lee Cronin,Rob Tapert,Lee Cronin,Warner Bros. Pictures,"Warner Bros.,Department of Post,Pacific Renaissance,New Line Cinema,Wild Atlantic Pictures,Ghost House Pictures",R (Some Language|Gore|Strong Bloody Horror Violence),"Horror,Mystery & Thriller,Fantasy",English,"Apr 21, 2023, Wide","May 9, 2023",$67.2M,1h 36m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Evil Dead Rise,,,
Pascal Plante,Dominique Dussault,Pascal Plante,Utopia,Nemesis Films Productions,,"Mystery & Thriller,Crime,Drama",Canadian French,"Sep 6, 2024, Limited","Oct 4, 2024",$83.1K,1h 58m,,,Red Rooms,,,
Michael Pearce,"Kristian Brodie,Lauren Dark,Ivana Mackinnon",Michael Pearce,"Roadside Attractions,30West","Les Films Séville,Roadside Attractions,BFI Film Fund,British Film Institute,Film4,Entertainment One",R (Language|Disturbing Violent Content|Some Sexuality),"Mystery & Thriller,Horror,Romance",British English,"May 11, 2018, Limited","Aug 21, 2018",$793.4K,1h 47m,Dolby Digital,Scope (2.35:1),Beast,,,
"David Zellner,Nathan Zellner","Nathan Zellner,David Zellner,Chris Ohlson","David Zellner,Nathan Zellner",Magnolia Pictures,Great Point Media,R (Language|Brief Graphic Nudity|Sexual Material|Some Violence),"Comedy,Western",English,"Jun 22, 2018, Limited","Sep 18, 2018",$282.8K,1h 53m,,,Damsel,,,
Zack Snyder,"Wesley Coller,Eric Newman,Deborah Snyder,Zack Snyder","Shay Hatten,Kurt Johnstad,Zack Snyder",Netflix,"Grand Electric,The Stone Quarry",PG-13 (Language|Bloody Images|Sexual Material|Partial Nudity|Sequences of Strong Violence|Sexual Assault),"Sci-Fi,Action,Adventure,Drama,Fantasy",English,"Dec 15, 2023, Limited","Dec 21, 2023",,2h 13m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Rebel Moon: Part One - A Child of Fire,,,
Hank Braxtan,"Hank Braxtan,Arielle Brachfeld,Ron Carlson","Hank Braxtan,Guy J. Jackson,Guy J. Jackson,Hank Braxtan",Terror Films,Terror Films,,"Horror,Sci-Fi",English,"Nov 12, 2024, Limited","Nov 1, 2024",,1h 26m,,,Glowzies,,,
Mark Mylod,"Adam McKay,Betsy Koch,Will Ferrell","Seth Reiss,Will Tracy",Searchlight Pictures,"Hyperobject Industries,Searchlight Pictures",R (Some Sexual References|Language Throughout|Strong Violent Content),"Horror,Mystery & Thriller,Comedy",English,"Nov 18, 2022, Wide","Jan 3, 2023",$38.5M,1h 47m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,The Menu,,,
Wes Anderson,"Wes Anderson,Jeremy Dawson,Steven Rales",Wes Anderson,Netflix,"American Empirical Pictures,Netflix,Netflix Studios",PG (Smoking),"Comedy,Adventure,Short",English,"Sep 20, 2023, Limited","Sep 27, 2023",,39m,,,The Wonderful Story of Henry Sugar,,,
Joachim Rønning,"Jerry Bruckheimer,Chad Oman,Jeff Nathanson",Jeff Nathanson,Walt Disney Pictures,Jerry Bruckheimer Films,PG (Thematic Elements|Some Language|Partial Nudity),"Biography,History,Drama",English,"May 31, 2024, Limited","Jul 19, 2024",,2h 9m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,Young Woman and the Sea,,,
Vineeth Varaprasad,Vineeth Varaprasad,Vineeth Varaprasad,,,,"Mystery & Thriller,Horror",Tamil,,,,2h 14m,,,Lift,,,
Craig Viveiros,,,,,,"Drama,Mystery & Thriller",English,,,,1h 42m,,,Ghosted,,,
Christopher Nolan,"Emma Thomas,Christopher Nolan",Christopher Nolan,Warner Bros. Pictures,"Syncopy,Warner Bros. Pictures",PG-13 (Brief Strong Language|Action|Intense Sequences of Violence|Some Suggestive References),"Action,Sci-Fi,Mystery & Thriller",English,"Sep 3, 2020, Wide","Dec 15, 2020",$58.1M,2h 30m,"Datasat,Dolby Digital",,Tenet,"Feb 23, 2024",,
"Isaiah Lester,Yassir Lester","Liz Destro,Jared Hess,Helen Estabrook,Tristen Tuckfield,Jillian Apfelbaum",Yassir Lester,Magnolia Pictures,"Village Roadshow Pictures,Destro Films",,"Comedy,Sports",English,"Nov 1, 2024, Limited","Nov 1, 2024",$10.5K,1h 29m,,,The Gutter,,,
Joseph Kosinski,"Jerry Bruckheimer,Tom Cruise,David Ellison,Christopher McQuarrie","Ehren Kruger,Eric Warren Singer,Christopher McQuarrie",Paramount Pictures,"Don Simpson/Jerry Bruckheimer Films,Paramount Pictures,Jerry Bruckheimer Films,Skydance Media",PG-13 (Some Strong Language|Sequences of Intense Action),"Action,Adventure",English,"May 27, 2022, Wide","Aug 22, 2022",$718.5M,2h 11m,Dolby Atmos,Scope (2.35:1),Top Gun: Maverick,"Sep 8, 2023",,
Sacha Bennett,"Sacha Bennett,Jonathan Parsons",Sacha Bennett,,"Japan Films,Hangman Film Company",,"Action,Crime,Drama,Mystery & Thriller",English,,,,1h 19m,,,Tuesday,,,
Romain Gary,"Alexander Salkind,Ilya Salkind",Romain Gary,,,,"Crime,Drama",English,,"Aug 25, 2018",,1h 42m,,,Kill,,,
Brandon Espy,"David Brooks,Arbi Pedrossian,Jenna Cavelle,Carl Reid","Brandon Espy,Carl Reid",Hulu,"Hulu Originals,WorthenBrooks",,Horror,English,,"Oct 11, 2024",,1h 28m,,,Mr. Crocket,,,
Robert Eggers,"Robert Eggers,Mark Huffam,Lars Knudsen,Arnon Milchan,Alexander Skarsgård","Sjón,Robert Eggers",Focus Features,"Square Peg,New Regency,Perfect World Pictures,Focus Features,Universal Pictures",R (Some Sexual Content|Nudity|Strong Bloody Violence),"Adventure,Action,Mystery & Thriller",English,"Apr 22, 2022, Wide","May 13, 2022",$34.2M,2h 17m,"Dolby Digital,Dolby Atmos",,The Northman,,,
Olivia Newman,"Aislinn Dunster,Elizabeth Gabler,Reese Witherspoon,Erin Siminoff,Lauren Levy Neustadter",Lucy Alibar,Sony Pictures Entertainment,"3000 Pictures,Hello Sunshine",PG-13 (Sexual Content|A Sexual Assault|Some Violence),"Drama,Mystery & Thriller",English,"Jul 15, 2022, Wide","Sep 13, 2022",$90.0M,2h 5m,,Scope (2.35:1),Where the Crawdads Sing,,,
"Bridget Savage Cole,Danielle Krudy","Drew P. Houpt,Alex Scharfman,Lucas Joaquin,Lia Buman,Tim Headington","Bridget Savage Cole,Danielle Krudy",,"Secret Engine,Tango Entertainment",R (Language and Brief Drug Use|Some Language|Sexual Material),"Comedy,Drama",English,,"Mar 17, 2020",,1h 30m,,,Blow the Man Down,,,
Taika Waititi,Kevin Feige,"Taika Waititi,Jennifer Kaytin Robinson",Walt Disney Pictures,"Marvel Studios,Walt Disney Pictures,Fox Studios Australia",PG-13 (Intense Sci-Fi Violence|Action|Language|Partial Nudity|Some Suggestive Material),"Action,Adventure,Fantasy,Comedy",English,"Jul 8, 2022, Wide","Sep 8, 2022",$343.2M,2h 5m,"Dolby Digital,Dolby Atmos",Scope (2.35:1),Thor: Love and Thunder,,,
Galder Gaztelu-Urrutia,"Ángeles Hernández,Carlos Juárez",David Desola,,Basque Films,,"Sci-Fi,Mystery & Thriller",European Spanish,,"Mar 21, 2020",,1h 34m,,,The Platform,,,
Destin Daniel Cretton,"Kevin Feige,Jonathan Schwartz","David Callaham,Destin Daniel Cretton,Andrew Lanham",,"Walt Disney Pictures,Fox Studios Australia,Marvel Studios",PG-13 (Sequences of Violence & Action|Language),"Action,Adventure,Fantasy",English,"Sep 3, 2021, Wide","Nov 12, 2021",$224.5M,2h 13m,"Dolby Digital,Dolby Atmos",Scope (2.35:1),Shang-Chi and the Legend of the Ten Rings,,,
Jason Goldberg,Brion Hambel,Nick Kreiss,,Empire Pictures,,"Mystery & Thriller,Horror",English,,"Jul 6, 2019",,1h 20m,,,AfrAId,,,
Kevin Greutert,"Mark Burg,Oren Koules","Pete Goldfinger,Josh Stolberg",Lionsgate,"Lions Gate Films,Aldea M Estudios,Twisted Pictures,Corazón Films",R (Language|Grisly Bloody Violence|Some Drug Use|Torture),"Horror,Mystery & Thriller",English,"Sep 29, 2023, Wide","Oct 20, 2023",$53.4M,1h 58m,,Flat (1.85:1),Saw X,,,
Boaz Yakin,"Lawrence Bender,Randy Ostrow",Boaz Yakin,,Miramax,R,Drama,English,,"May 23, 2016",$7.7M,1h 52m,"Surround,Stereo",,Fresh,,,
Mikael Håfström,"Erlend Loe,Nora Landsrød","Erlend Loe,Nora Landsrød",Brainstorm Media,"Nordisk Film,Viaplay",R (Strong Violence|Language|Grisly Images),"Action,Adventure,War",English,"Nov 8, 2024, Limited","Nov 8, 2024",,1h 58m,,Digital 2.39:1,Stockholm Bloodbath,,,
George Miller,,,,,,,,,,,,,,Prey,,,
John Krasinski,"Michael Bay,Andrew Form,Brad Fuller,John Krasinski",John Krasinski,Paramount Pictures,"Sunday Night,Buffalo FilmWorks,Platinum Dunes,Paramount Pictures",PG-13 (Terror|Bloody/Disturbing Images|Violence),"Horror,Sci-Fi,Mystery & Thriller",English,"May 28, 2021, Wide","Jul 13, 2021",$160.2M,1h 37m,Dolby Atmos,Digital 2.39:1,A Quiet Place Part II,,,
Lewis Milestone,Carl Laemmle Jr.,"Erich Maria Remarque,George Abbott,Del Andrews,Maxwell Anderson,Maxwell Anderson,Lewis Milestone",Universal Pictures,Universal Pictures,,War,English,"Aug 24, 1930, Original","Apr 22, 2014",,1h 45m,,,All Quiet on the Western Front,,,
Maggie Gyllenhaal,"Charlie Dorfman,Maggie Gyllenhaal,Osnat Handelsman-Keren,Talia Kleinhendler",Maggie Gyllenhaal,Netflix,"Samuel Marshall Productions,Endeavor Content,Pie Films,Faliro House Productions",R (Sexual Content/Nudity|Language),Drama,English,"Dec 31, 2021, Limited","Dec 31, 2021",,2h 2m,Dolby Digital,,The Lost Daughter,,,
Takahisa Zeze,,Takahisa Zeze,,Kadokawa Daiei Studio,,Drama,Japanese,,,,2h 9m,,,The Promised Land,,,
"Edward José,George B. Seitz",Edward José,George B. Seitz,,Edward José Productions,,"Action,Adventure",English,"Feb 28, 1916, Limited",,,7h 20m,,,The Iron Claw,,,
Sam Raimi,Kevin Feige,Michael Waldron,Walt Disney Pictures,Marvel Studios,PG-13 (Frightening Images|Action|Intense Sequences of Violence|Some Language),"Action,Adventure,Fantasy,Horror",English,"May 6, 2022, Wide","Jun 22, 2022",$411.3M,2h 6m,"Dolby Digital,DTS,Dolby Atmos",Scope (2.35:1),Doctor Strange in the Multiverse of Madness,,,
Mark Waters,Lorne Michaels,Tina Fey,Paramount Pictures,"Paramount Pictures,M.G.Films",PG-13 (Sexual Content|Language),Comedy,English,"Apr 30, 2004, Wide","Aug 1, 2013",$86.1M,1h 37m,"Dolby SRD,DTS,Surround",Flat (1.85:1),Mean Girls,"Oct 3, 2024",,
"Parkpoom Wongpoom,Banjong Pisanthanakun",,,,,,"Horror,Mystery & Thriller",English,,,,,,,Alone,,,
"Luis Carlos Hueck,Ethan Zvi Kaplan",Ethan Zvi Kaplan,Ethan Zvi Kaplan,Indican Pictures,Don Kap Productions,,Comedy,English,"Jun 5, 2020, Limited","Mar 17, 2020",$5.7K,1h 20m,,,Sex and the Future,,,
Rian Johnson,"Rian Johnson,Ram Bergman",Rian Johnson,Netflix,"Lionsgate,Netflix,T-Street",PG-13 (Sexual Material|Drug Content|Some Violence|Strong Language),"Mystery & Thriller,Comedy,Drama",English,"Nov 23, 2022, Wide","Dec 23, 2022",,2h 20m,Dolby Atmos,Flat (1.85:1),Glass Onion: A Knives Out Mystery,,,
Julio Quintana,"Javier Chapa,Ben Howard,Dennis Quaid,Laura Quaid,Marla Quintana","Julio Quintana,Jennifer C. Stetson,Paco Farias",Mucho Más Media,"TBD Post,Fifth Season,Mucho Mas Media,Bonniedale,Jaguar Bite",PG (Thematic Material|Language|Some Violence|Racial Slurs),"History,Drama",English,"Apr 12, 2024, Limited","Apr 30, 2024",$3.0M,1h 52m,,,The Long Game,,,
Cord Jefferson,"Ben LeClair,Nikos Karamigios,Cord Jefferson,Jermaine Johnson",Cord Jefferson,MGM,"Orion Pictures,T-Street,MRC,3Arts",R (Sexual References|Language Throughout|Brief Violence|Some Drug Use),"Comedy,Drama",English,"Jan 12, 2024, Wide","Feb 6, 2024",$21.0M,1h 57m,Dolby Digital,Digital 2.39:1,American Fiction,,,
Roel Reiné,"Jordan Dykstra,Gabriel Georgiev,Ellen S. Wander",Bob DeRosa,Saban Films,"Midwest,Film Bridge International,Filmology Finance,Underdogg Entertainment",R (Violence and Language),"Action,Mystery & Thriller",English,,"Oct 22, 2024",,1h 45m,,,Classified,,,
Pamela Adlon,"Ilana Glazer,Josh Rabinowitz,Susie Fox,Ashley Fox,Breean Pojunas","Ilana Glazer,Josh Rabinowitz",Neon,"FilmNation Entertainment,Starrpix,Range Media Partners",R (Some Drug Use|Sexual Material|Language Throughout),Comedy,English,"May 24, 2024, Wide","Jul 2, 2024",$3.7M,1h 44m,,,Babes,,,
Mark Dindal,"John Cohen,Broderick Johnson,Andrew A. Kosove,Steven P. Wegner,Craig Sost,Namit Malhotra","Paul A. Kaplan,Mark Torgrove,David Reynolds",Columbia Pictures,"Columbia Pictures,Stars Collective Films Entertainment Group,Alcon Entertainment",PG (Mild Thematic Elements|Action/Peril),"Kids & Family,Comedy,Adventure,Animation",English,"May 24, 2024, Wide","Jul 9, 2024",$91.7M,1h 41m,"Dolby Atmos,Dolby Digital",Flat (1.85:1),The Garfield Movie,,,
