Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
"Matt Angel,Suzanne Coote",Michael J. Luisi,Richard D'Ovidio,,The Long Game,,"Horror,Mystery & Thriller",English,,"Oct 27, 2021",1h 29m,Hypnotic,Dolby Digital,Scope (2.35:1),,,
David Yarovesky,"Sam Raimi,Romel Adam,Mason Novick,Michelle Knudsen","Mikki Daughtry,Tobias Iaconis",,,,"Fantasy,Horror,Kids & Family",English,,"Sep 15, 2021",,Nightbooks,,,,,
Orson Oblowitz,"Christian de Gallegos,Mira Pak Howard",Orson Oblowitz,SHOUT! STUDIOS,"Christian de Gallegos Films,Benaroya Pictures,BondIt Media Capital,Buffalo 8 Productions",,Action,English,"Nov 10, 2023, Limited","Nov 10, 2023",1h 32m,Showdown at the Grand,,,,,
"Kristin Gore,Damian Kulash","Brian Grazer,Ron Howard,Karen Lunder",Kristin Gore,Apple Original Films,"Apple Original Films,Imagine Entertainment,Apple Studios",R (Language),Comedy,English,"Jul 21, 2023, Limited","Jul 28, 2023",1h 50m,The Beanie Bubble,Dolby Digital,,,,
Zoe Lister Jones,"Jason Blum,Lucy Fisher,Douglas Wick",Zoe Lister Jones,,"Blumhouse Productions,Red Wagon Entertainment,Columbia Pictures",PG-13 (Crude and Sexual Content|Brief Drug Material|Language|Thematic Elements),"Fantasy,Mystery & Thriller,Drama",English,,"Oct 28, 2020",1h 37m,The Craft: Legacy,,Scope (2.35:1),,,
Maryam Keshavarz,"Maryam Keshavarz,Anne Carey,Ben Howe,Luca Borghese,Cory Neal,Peter Block",Maryam Keshavarz,Sony Pictures Classics,"AgX,A Bigger Boat,MaraKesh Films,Archer Gray",R (Some Sexual References|Language),"Comedy,Drama,LGBTQ+,Romance",English,"Oct 20, 2023, Limited","Dec 5, 2023",1h 47m,The Persian Version,,,$559.4K,,
Mona Fastvold,"Casey Affleck,Margarethe Baillou,David Hinojosa,Pamela Koffler,Whitaker Lader","Ron Hansen,Jim Shepard",Bleecker Street Media,"M.Y.R.A. Entertainment,Yellow Bear Films,Hyper Films,Panasper Films,Sea Change Media,Charades,Sailor Bear,Arsia Production,Ingenious Media,Sony Pictures Worldwide Acquisitions (SPWA),Killer Films",R (Some Sexuality/Nudity),"Romance,Drama,LGBTQ+",English,"Feb 12, 2021, Limited","Mar 2, 2021",1h 38m,The World to Come,,,$106.3K,,
Gregory J. Markopoulos,,,,,,Documentary,English,,,6m,Bliss,,,,,
"Werner Herzog,Clive Oppenheimer","André Singer,Lucki Stipetic",Werner Herzog,,"Werner Herzog Filmproduktion,Sandbox Films,Spring Films",,Documentary,English,,"Nov 13, 2020",1h 37m,Fireball: Visitors From Darker Worlds,,,,,
Jason B. Bergh,"Courtney Baxter,Gillian Brown,Lindsay Utz,Stephan Bielecki",Michael Blieden,Amazon MGM Studios,Artists Equity,R (Language),Documentary,English,,"Feb 27, 2024",1h 28m,The Greatest Love Story Never Told,,,,,
Gerry Lively,George Shamieh,"Adrian Fulle,Craig J. Nevius",,,R,Mystery & Thriller,English,,"Sep 14, 2018",1h 38m,Windfall,,,,,
Mike Burns,"Randall Emmett,George Furla,Ceasar Richbow,Mark Stewart,Chad A. Verdi",Bill Lawrence,Vertical Entertainment,"Five Star Films,BondIt Media Capital,Emmett/Furla/Oasis Films,Buffalo 8 Productions,Verdi Productions",,"Action,Mystery & Thriller",English,"Jul 15, 2022, Wide","Jul 15, 2022",1h 36m,Wrong Place,,,,,
Kate Dolan,Deirdre Levins,Kate Dolan,Magnet Releasing,"Bankside Films,Screen Ireland,Fantastic Films",,"Horror,Drama",English,"Mar 25, 2022, Limited","Mar 25, 2022",1h 33m,You Are Not My Mother,,,$44.8K,,
Shawn Seet,"Nathan Ramos-Park,Kylie Du Fresne","Shuang Hu,Nathan Ramos-Park",Prime Video,"Goalpost Pictures,Amazon Studios",,"Comedy,Drama",Australian English,,"Feb 13, 2024",2h 11m,Five Blind Dates,,,,,
Mélanie Laurent,"Guillaume Colboc,Sidonie Dumas,Marc Vadé","Cédric Anger,Christophe Deslandes,Jérôme Mulot,Bastien Vives",Netflix,"Gaumont Production,Netflix France",,"Comedy,Action",French (France),,"Nov 1, 2023",1h 54m,Wingwomen,,,,,
Gavin Rothery,"Philip Herd,Theo James,Cora Palfrey",Gavin Rothery,Vertical Entertainment,"Metrol Technology,Independent,Head Gear Films,Hero Squared,Untapped",R,Sci-Fi,British English,"Jul 10, 2020, Limited","Jul 10, 2020",1h 45m,Archive,,Scope (2.35:1),$118.7K,,
"James Lebrecht,Nicole Newnham","James Lebrecht,Sara Bolder,Nicole Newnham","James Lebrecht,Nicole Newnham",Netflix,Higher Ground Productions,R (Sexual References|Some Language),Documentary,English,,"Mar 25, 2020",1h 47m,Crip Camp,,,,,
Sharan Sharma,"Karan Johar,Hiroo Johar,Apoorva Mehta","Sharan Sharma,Nikhil Mehrotra",,Dharma Productions,,"Biography,Drama",Hindi,,"Aug 13, 2020",1h 52m,Gunjan Saxena: The Kargil Girl,,,,,
Quinn Shephard,"Apolline Berty,Miranda Hill,Caroline Jaczko,Chan Phung,Negin Salmasi,Brad Weston","Quinn Shephard,Quinn Shephard",,"Makeready,Searchlight Pictures",R,"Comedy,Drama",English,,"Jul 29, 2022",1h 40m,Not Okay,,,,,
Éric Valette,"Broderick Johnson,Andrew A. Kosove,Scott Kroopf,Jennie Lew Tugend,Lauren Weissman",Andrew Klavan,Warner Bros.,Intermedia Films,PG-13 (Intense Sequences of Terror|Frightening Images|Intense Sequences of Violence|Some Sexual Material|Thematic Elements),"Horror,Mystery & Thriller",English,"Jan 4, 2008, Wide","Oct 31, 2009",1h 27m,One Missed Call,"Dolby SRD,DTS,SDDS",Flat (1.85:1),$26.9M,,
Mel Eslyn,"Zackary Drucker,Mel Eslyn,Shuli Harel,Maddie Buis","Mel Eslyn,Mark Duplass",IFC Films,Duplass Brothers Productions,,"Sci-Fi,Comedy,Drama",English,"Jul 7, 2023, Limited","Jul 7, 2023",1h 47m,Biosphere,,,$59.9K,,
Nate Dushku,"Nate Dushku,Amnon Lourie,Bobby Appelbaum",Amnon Lourie,TLA Releasing,Murgen Croaker Productions,,"Mystery & Thriller,LGBTQ+",English,,"Jun 25, 2024",1h 27m,Birder,,,,,
Emmanuel Osei-Kuffour,John H. Brister,"Emmanuel Osei-Kuffour,Stephen Herman",,"Amazon Studios,Black Bar Mitzvah,Blumhouse Television",,Mystery & Thriller,English,,"Oct 6, 2020",1h 40m,Black Box,,Scope (2.35:1),,,
Edward Drake,Corey Large,Edward Drake,Lionsgate,"Lionsgate Films,BondIt Media Capital,Lionsgate,Buffalo 8 Productions",R (Violence|Language Throughout|A Sexual Reference),"Action,Mystery & Thriller",English,"Dec 9, 2022, Limited","Dec 9, 2022",1h 33m,Detective Knight: Redemption,,,,,
Castille Landon,"Dori A. Rath,Joseph Restaino,Robert Molloy,Joe Riley",Castille Landon,Lionsgate Films,"Voltage Pictures,Buzzfeed,Hungry Bull Productions,Gem Entertainment,Yellow Eyes Productions",PG-13 (Mature Thematic Content|Disturbing Images|Some Strong Language|Violence/Terror),"Mystery & Thriller,Drama",English,"Feb 12, 2021, Limited","Feb 12, 2021",1h 32m,Fear of Rain,,Flat (1.85:1),,,
Goran Stolevski,"Marija Dimitrova,Klaudia Śmieja,Ankica Juric-Tilic,Beata Rzezniczek,Milan Stojanovic,Blerta Basholli",Goran Stolevski,Focus Features,"Industria Film,Common Ground Pictures,SENSE Production,Causeway Films,List Production,Film i Väst,Madants,Kinorama",R (Some Teen Drinking|Sexual Content|Language Throughout),"Drama,LGBTQ+",Macedonian,"Apr 5, 2024, Limited","May 7, 2024",1h 47m,Housekeeping for Beginners,Dolby Digital,,$241.0K,,
Jeff Tremaine,"Jeff Tremaine,Spike Jonze,Johnny Knoxville",,Paramount Pictures,"Paramount Pictures,Dickhouse Productions,MTV Entertainment Studios",R (Graphic Nudity|Dangerous Stunts|Language Throughout|Strong Crude Material),Comedy,English,"Feb 4, 2022, Wide","Mar 22, 2022",1h 36m,Jackass Forever,,Flat (1.85:1),$57.7M,,
John Kent Harrison,Brent Shields,Horton Foote,,Hallmark Hall of Fame Productions,"PG,TV-G",Drama,English,,,1h 37m,Old Man,Stereo,,,,
Joshua Sowden,"Guy Birtwhistle,Joshua Sowden",Guy Birtwhistle,Indie Rights,Savile Park Studios,,"Sci-Fi,Drama",English,,"Oct 4, 2024",1h 11m,Our Man in LA,,,,,
Steven Kostanski,"Stuart F. Andrews,Shannon Hanmer,Steven Kostanski",Steven Kostanski,RLJE Films,"Raven Banner Entertainment,Dystopia Films",,"Horror,Comedy",English,"Jan 22, 2021, Limited","Jan 22, 2021",1h 35m,PG: Psycho Goreman,,Scope (2.35:1),$95.1K,,
